run_name,AVERAGE of bvh_construct.num_aabbs,AVERAGE of bvh_construct.tot_time,STDEV of bvh_construct.tot_time,AVERAGE of tot_aabb_extraction_time,STDEV of tot_aabb_extraction_time,AVERAGE of aabb_extraction,STDEV of aabb_extraction,AVERAGE of time,STDEV of time
cuda_fixed_000,3276,0.016709129,0.000294078843,0.0035155549,0.000005958310128,0.0035155549,0.000005958310128,0.15415215,0.01107153009
cuda_fixed_001,6552,0.016768418,0.0002505725135,0.0035693036,0.000006179264367,0.0035693036,0.000006179264367,0.15430306,0.002344568216
cuda_fixed_004,16380,0.016910406,0.000309514182,0.0037822401,0.00001145677952,0.0037822401,0.00001145677952,0.15620955,0.005812302705
cuda_fixed_009,32760,0.018254309,0.000253713761,0.0041903155,0.00001804119536,0.0041903155,0.00001804119536,0.15530588,0.001453318608
cuda_fixed_014,49140,0.015047184,0.0003250984509,0.0078058682,0.00002576126379,0.0078058682,0.00002576126379,0.15936323,0.006231007989
cuda_fixed_024,81900,0.017350101,0.0002136891538,0.0086898701,0.00004252446261,0.0086898701,0.00004252446261,0.15894317,0.001759924241
cuda_fixed_049,163800,0.021254611,0.0003488208923,0.011092172,0.00009387186526,0.011092172,0.00009387186526,0.16693045,0.002829654158
cuda_fixed_074,245700,0.026734388,0.0005365572533,0.013659535,0.0001480880174,0.013659535,0.0001480880174,0.1740853,0.002638489201
cuda_fixed_099,327600,0.033149494,0.0006876396115,0.016264931,0.0002277957337,0.016264931,0.0002277957337,0.18671259,0.0242020115
cuda_fixed_124,409500,0.038093164,0.0003163879126,0.018545848,0.0003086905997,0.018545848,0.0003086905997,0.19031036,0.00323137531
cuda_fixed_149,491400,0.043670557,0.000311314579,0.022672768,0.000487223431,0.022672768,0.000487223431,0.20071118,0.009747305618
cuda_fixed_499,1638000,0.12690927,0.0008856071119,0.078583351,0.0009015519022,0.078583351,0.0009015519022,0.36228602,0.005001019603
cuda_fixed_999,3276000,0.25235838,0.001129843198,0.20247275,0.001832765479,0.20247275,0.001832765479,0.65161244,0.005712210422
cuda_rec_sub_0.000484781,3275677,0.27610297,0.01646481928,5.04043717,0.008123584693,4.9031141,0.003783709658,5.3225632,0.01715195356
cuda_rec_sub_0.00076726,1637844,0.13910497,0.008632794519,3.47497348,0.007051229143,3.3400743,0.002317289977,3.617472,0.01225018367
cuda_rec_sub_0.00172711,491342,0.045629295,0.001711662038,0.83961663,0.00660070525,0.70409914,0.001016078717,0.88655662,0.006844287416
cuda_rec_sub_0.0019996,409495,0.039927362,0.001619282784,0.75209378,0.004493907826,0.61773172,0.0008869110176,0.79324594,0.004784226416
cuda_rec_sub_0.00235283,327580,0.033724196,0.001005025584,0.70140298,0.002063243387,0.56872022,0.001058595492,0.73626949,0.002297855058
