run_name,AVERAGE of newton_solve,STDEV of newton_solve,AVERAGE of locate_candidates.tot_time,STDEV of locate_candidates.tot_time,AVERAGE of time,STDEV of time
cuda_fixed_000,0.12600448,0.0007438039749,0.0179788993,0.00100677818,0.14744447,0.0007727794053
cuda_fixed_001,0.10579151,0.0006951832328,0.0185797449,0.001000163542,0.12784753,0.0007934388961
cuda_fixed_004,0.06624765,0.0004404661556,0.0186307905,0.001034032012,0.088346726,0.001039656024
cuda_fixed_009,0.047307025,0.0004733696831,0.0189420134,0.001001437649,0.069687479,0.001132287069
cuda_fixed_014,0.042699613,0.0005371852384,0.0170904349,0.0007388607446,0.063428237,0.001107268611
cuda_fixed_024,0.034092977,0.0002258501916,0.017781867,0.0007464580274,0.055359043,0.000977438154
cuda_fixed_049,0.029395157,0.0002695136076,0.018724257,0.0006972821062,0.051558322,0.0008961239574
cuda_fixed_074,0.028371848,0.0002561551662,0.019475861,0.0007170452145,0.051308396,0.0009845621601
cuda_fixed_099,0.025801421,0.0002438269213,0.019935933,0.0006963474089,0.049195637,0.0009372650897
cuda_fixed_124,0.024580933,0.0001711491116,0.02314246,0.0009994761669,0.05120718,0.001265870852
cuda_fixed_149,0.02260981,0.0002195827878,0.020705976,0.0007845025299,0.046785681,0.001022477137
cuda_fixed_499,0.018946745,0.00005723058865,0.022974997,0.0007206830495,0.045362812,0.00103599586
cuda_fixed_999,0.016836345,0.00004895450862,0.024308974,0.0007337235534,0.044584316,0.001055574526
cuda_rec_sub_0.000484781,0.015661656,0.00003854143859,0.025097786,0.001018023033,0.044200725,0.001320945156
cuda_rec_sub_0.00076726,0.017387849,0.00004702056179,0.023672559,0.001001202624,0.044527168,0.001303889316
cuda_rec_sub_0.00172711,0.019775558,0.00004700113942,0.01888557,0.0007310591512,0.042110064,0.001045181656
cuda_rec_sub_0.0019996,0.020305946,0.00007260550306,0.018636912,0.000729227432,0.04238568,0.001047105935
cuda_rec_sub_0.00235283,0.021753115,0.00006504553708,0.018429409,0.0008111026979,0.043643377,0.001110621592
cuda_rec_sub_0.00282126,0.023028474,0.00007494558379,0.017729555,0.0007336772755,0.044200313,0.001042921335
cuda_rec_sub_0.00365842,0.024314448,0.00008541403083,0.017416292,0.0008301796084,0.045198861,0.001140895664
cuda_rec_sub_0.005983,0.02782733,0.00008637056352,0.0164669044,0.0007395518965,0.047727219,0.001070601115
cuda_rec_sub_0.00921,0.030023206,0.00006335648193,0.0159022659,0.0007387703103,0.049368083,0.001052986229
cuda_rec_sub_0.01221,0.032119551,0.00007449174382,0.015467057,0.0004551802514,0.051033932,0.0007673566242
cuda_rec_sub_0.020685,0.038029568,0.0004597547299,0.0150912203,0.0007142743658,0.056593841,0.001013770028
cuda_rec_sub_0.0559,0.056701949,0.0006151394679,0.0146860539,0.0007241591593,0.074857681,0.0009463743025
